zd,zz
面部挫裂伤,外伤:2 出血:2 呕吐:2 割伤:2 麻木:2 咽部:2 右眶下区皮肤:1 青年:1 恶心:1 颜面部肿胀:1 重度烟斑附着:1 无意识:1 渗血:1 疼痛:1 活动受限:1 口腔卫生欠佳:1 昏迷:1 女性:1 
肝肿物,肾区叩痛:8 男性:8 浮肿:7 肿块:5 女性:5 胆囊炎:5 肝占位:5 肿瘤:4 疼痛:4 轻压痛:4 肿物:3 加重:3 老年:3 恶心:3 囊肿:3 腹胀:3 肾结石:2 结肠癌:2 副脾:2 肝内胆管扩张:2 肝癌:2 高血压:2 肾囊肿:2 青年:1 回声结节:1 脾肿大:1 皮肤巩膜黄染:1 胃炎:1 体重减轻:1 肝囊肿:1 左房增大:1 进食:1 睡眠差:1 肝多发占位:1 盆腔少量积液:1 肺呼吸音粗:1 胀痛:1 脂肪肝:1 慢性病容:1 肠梗阻:1 多发结石:1 脾大:1 脂肪瘤:1 肝左叶占位:1 酸痛:1 慢性肝病:1 呕吐:1 胆结石:1 乏力:1 心肺听诊异常:1 胆囊息肉:1 静脉化疗:1 心律不齐:1 心影增大:1 紧张:1 感染:1 腹膨隆:1 轻度脂肪肝:1 双肾多发小结晶:1 窦缓:1 乙肝:1 左室壁增厚:1 发热:1 完全性右束支传导阻滞:1 肝右叶小囊肿:1 双肾类圆形高、低密度影:1 胆囊结石:1 腹痛:1 肝硬化:1 巩膜轻度黄染:1 高血压病:1 
慢性前列腺炎,男性:2 心肺听诊阴性:2 浮肿:2 渐进性排尿伴尿不尽:1 腰背部疼痛:1 增生:1 肾结石:1 肾囊肿:1 糖尿病:1 腹痛:1 右肾轻度积水:1 右输尿管下段结石:1 右输尿管中段结石:1 血糖偏高:1 渐进性排尿困难:1 
前庭大腺囊肿,浮肿:3 触痛:3 淋巴结肿大:3 肥大:2 脉滑数:2 外阴包块:2 肿块:2 出血:2 面色红:2 囊肿:2 子宫肌瘤:2 回声结节:1 贫血:1 阴道流血流液:1 肿物:1 子宫前位:1 剖宫产:1 红肿:1 畏寒发热:1 加重:1 肿胀:1 进腹子宫全切除术:1 手术史:1 疼痛:1 纤维瘤:1 
踝骨骨折,活动受限:6 骨折:6 肿胀:6 骨擦感:4 压痛明显:4 扭伤:3 脉弦:3 外伤:2 舌质淡:2 左足肿痛:1 右踝肿痛:1 渗血:1 车祸:1 左踝肿痛:1 活动不利:1 疼痛:1 瘀青:1 椎体楔形改变:1 肌力下降:1 椎体:1 
恶性淋巴瘤个人史,淋巴瘤:6 老年:5 增生:5 淋巴结肿大:4 男性:4 高血压病:4 脾大:3 肿瘤:3 贫血:2 右肺多发结节:2 肿块:2 胆囊息肉:2 女性:2 淋巴细胞浸润:2 椎体:2 有核细胞增生活跃:1 血管免疫母细胞性T细胞淋巴瘤:1 轻度阻塞性通气功能障碍:1 两肺多发结节:1 右肺及左肺下叶散在纤维灶:1 累:1 房早:1 肺呼吸音粗:1 肝脏多发囊肿:1 恶心:1 阑尾炎:1 畏寒发热:1 右肺上叶结节:1 慢性病容:1 糖尿病:1 乏力:1 左室增大:1 心律不齐:1 左室高电压:1 前列腺增大:1 胆囊炎:1 淋巴瘤化疗后:1 脾肿大:1 心律失常:1 蛛网膜囊肿:1 囊肿:1 胆囊结石:1 纤维组织增生:1 肝囊肿:1 肾囊肿:1 活动度差:1 冠心病:1 腹胀:1 胸闷气急:1 腰椎退行性变:1 
软组织伤,骨折:13 疼痛:13 活动受限:12 外伤:9 出血:6 摔伤:4 明确外伤史:4 肿胀:4 骨擦感:4 压痛明显:4 青年:3 女性:3 割伤:3 渗血:3 腰椎:3 椎体:3 瘀斑:2 挫伤重:2 膝关节:2 痛苦:2 男性:2 麻木:2 腰背部压痛、叩痛:1 腰痛:1 砸伤:1 右足踇趾:1 精神软:1 腰背部轻度后凸畸形:1 活动障碍:1 腰背部疼痛:1 破裂:1 刀砍伤:1 车祸:1 活动轻度受限:1 撕脱:1 左踇趾:1 退变:1 异物感:1 触痛:1 膝活动受限:1 尘肺:1 撞伤:1 
急性心肌梗死,浮肿:18 胸痛:17 高血压:14 男性:13 胸闷:13 出汗:9 糖尿病:6 头晕:5 ST-T改变:5 肺呼吸音粗:4 咳嗽:4 加重:4 女性:4 高血压病:4 黑便:3 晕厥:3 老年:3 无意识:3 精神软:3 湿罗音:3 腹泻:3 异常Q波:3 慢支:2 心肌梗死:2 黑朦:2 肺气肿:2 心音低:2 感染:2 ST段抬高:2 吸烟:2 血压偏低:1 左房增大:1 肥大:1 左室舒张功能减退:1 酸胀不适:1 胸闷气促:1 咳痰:1 出血:1 呕吐:1 心悸:1 心动过速:1 肺大泡:1 急性心肌梗死:1 咽部:1 风湿性关节炎:1 恶心:1 病理性杂音:1 饮酒史:1 麻木:1 ST段压低:1 频发房早:1 手术治疗:1 窦缓:1 抽搐:1 两肺下叶纤维灶:1 胸腔积液:1 房室传导阻滞:1 主动脉壁钙化:1 腔隙性脑梗塞:1 
上消化道出血,浮肿:15 黑便:12 贫血:8 紧张:8 病理性杂音:8 男性:7 糖尿病:6 女性:6 老年:4 不适:4 隐血:4 高血压病:4 呕血:4 腹痛:3 双肺呼吸音低:3 高血压:3 房颤:3 消化道出血:3 心脏病:3 精神软:2 胃炎:2 动脉粥样硬化:2 心界左下扩大:2 头晕:2 肾功能不全:2 头昏乏力:2 肾囊肿:2 活动受限:1 肝占位:1 腰痛:1 脑梗病史:1 心肌梗死:1 急性病程:1 低钾血症:1 肝左叶囊肿:1 蜘蛛痣:1 脂肪肝:1 颈静脉充盈:1 痛风:1 酒精性肝病:1 轻度脂肪肝:1 心音强弱不等:1 食欲不振:1 加重:1 乏力:1 饮酒史:1 尿黄:1 心功能不全:1 纳差:1 肝功能不全:1 头痛:1 渗血:1 心律绝对不齐:1 肝区叩击痛:1 胃病:1 血尿:1 湿罗音:1 十二指肠球部溃疡:1 胃多发溃疡:1 柏油样便:1 早搏:1 胃溃疡:1 脑梗塞病史:1 脾肿大:1 冠心病:1 脑梗塞:1 血吸虫肝病:1 肺呼吸音粗:1 触痛:1 
肝恶性肿瘤,肝癌:45 男性:42 浮肿:29 肿瘤:22 老年:20 肿块:20 肝硬化:19 肾区叩痛:16 腹胀:15 乙肝:14 胆囊炎:11 肝占位:11 腹痛:11 腹水:11 囊肿:10 脾肿大:10 高血压病:10 女性:9 全腹及反跳痛:9 精神软:9 乏力:8 病理性杂音:8 淋巴结肿大:8 脾大:7 慢性病容:7 紧张:7 出血:6 胆囊结石:6 恶心:5 蜘蛛痣:5 肝右叶MT:5 肝区叩击痛:5 静脉曲张:5 高血压:5 不适:5 肾囊肿:5 肝炎:4 心律不齐:4 上腹压痛:4 肺呼吸音粗:4 慢性肝病:4 副脾:3 破裂:3 消瘦:3 呕吐:3 肝内胆管扩张:3 椎体:3 胃炎:3 心功能II级:3 糖尿病:3 贫血:3 双下肢水肿:3 胀痛:3 心律失常:3 退变:3 轻压痛:3 陈旧性手术疤痕:2 皮肤黄染:2 纳差:2 骨折:2 脾切除术:2 肝周少量积液:2 肾结石:2 心影增大:2 腹膨隆:2 腹腔少量积液:2 肝脏小囊肿:2 黄疸:2 肺气肿:2 增生:2 手术瘢痕:2 感染:2 胆管癌:2 腺肌症:2 累:2 门静脉高压:2 肝右叶囊肿:2 发热:2 肝左叶占位:2 静脉化疗:2 疼痛:2 触痛:2 左侧肢体:1 鳞状细胞癌:1 盆腔少量积液:1 进食:1 主动脉管壁钙化:1 肝脏多发小囊肿:1 肿物:1 咽部:1 多发结石:1 主动脉瓣钙化:1 苔薄黄:1 完全性右束支传导阻滞:1 心动过缓:1 活动度欠佳:1 放疗后:1 甲胎蛋白升高:1 皮肤、巩膜稍黄染:1 癌转移:1 肝右叶小囊肿:1 手术史:1 肝内低密度灶:1 巩膜轻度黄染:1 肝内回声增粗:1 系统性红斑狼疮:1 左肺上叶小结节:1 回声结节:1 肝掌:1 炎性结节:1 左肾旋转不良:1 破溃:1 直肠癌转移:1 胆囊息肉:1 微黄染:1 左肺上叶:1 子宫肌瘤:1 血栓:1 化脓:1 陈旧手术疤痕:1 手术治疗:1 肝周少许积液:1 支气管病变:1 脉滑数:1 两肺下叶渗出灶:1 尘肺:1 畏寒:1 两肺多发结节:1 眩晕症:1 双下肢轻度水肿:1 三系减少:1 右肺中叶小结节:1 脂肪肝:1 加重:1 脾功能亢进:1 强回声:1 前列腺钙化:1 两肺结节:1 痰中带血:1 饮酒史:1 右肺门MT:1 慢支:1 轻度ST段改变:1 关节肿痛:1 肺大泡:1 腰椎:1 直肠癌术后:1 胸腔积液:1 右侧腹股沟疝:1 多发钙化灶:1 阻塞性炎症:1 自行停药:1 腹部包块:1 右侧股骨小转子骨质破坏:1 肝囊肿:1 皮肤巩膜黄染:1 房颤:1 哮鸣音:1 黑便:1 活动度差:1 流脓:1 瘀斑:1 局部坏死考虑:1 焦虑:1 畏寒发热:1 胆囊切除术:1 胆结石:1 骨转移瘤:1 脾已切除:1 肝多发占位:1 脓肿:1 门脉左支显影欠佳:1 大网膜增厚浑浊:1 腹泻:1 肿瘤破裂出血:1 红肿:1 隐血:1 轻度压痛:1 
支气管肺炎,肺呼吸音粗:238 咳嗽:222 发热:168 肺炎:132 咽充血:108 湿罗音:81 扁桃体I°肿:49 皮疹:40 红肿:35 吸凹:22 面色红:20 喘息:17 咽部:16 咽稍红:16 哮鸣音:15 加重:15 出血:14 病理性杂音:14 咳喘:13 脉浮数:12 苔薄黄:12 感染:12 呛咳:9 两肺纹理增粗:9 气促:9 肺结核:7 女性:7 两肺纹理增多:7 气喘:5 男性:5 扁桃体稍肿大:5 腹泻:5 急性起病:5 疱疹:4 浮肿:4 感冒:3 喉间痰鸣:3 脾肿大:3 精神软:2 隐血:2 畏寒发热:2 呼吸促:2 口唇紫绀:2 咳痰:2 鼻塞:2 腹痛:2 右肺呼吸音低:2 双肺呼吸音低:2 畏寒:2 淋巴结肿大:2 早搏:2 闻及明显哮鸣音及痰鸣音:1 左侧胸膜反应:1 心律失常:1 瘀斑:1 强直性脊柱炎:1 脓性分泌物:1 颈静脉充盈:1 哭吵:1 老年:1 略充血:1 右侧腹股沟疝:1 头痛:1 增生:1 肺部闻及痰鸣:1 咽后壁可见少许粘液分泌物:1 呕吐:1 轻压痛:1 两肺多发小结节:1 腹腔少量积液:1 哮喘:1 抽搐:1 高血压:1 动脉粥样硬化:1 寒战:1 阵咳:1 癫痫:1 律欠齐:1 心脏病:1 脱水貌:1 肥胖:1 血小板减少:1 
右睾丸挫裂伤,囊肿:1 触痛:1 肿胀:1 
骨关节炎,关节痛:7 肿胀:5 膝关节:4 病理性杂音:4 破溃:3 疼痛:3 轻压痛:3 女性:2 男性:2 增生:2 湿罗音:2 高血压病:2 颈动脉粥样硬化:1 活动受限:1 帕金森病史:1 间歇性关节痛:1 左膝半月板损伤:1 双下肢乏力:1 左足肿痛:1 痛风:1 胆囊息肉:1 局部压痛:1 红肿:1 骨关节炎:1 隐痛:1 肝囊肿:1 肾囊肿:1 浮肿:1 肥胖:1 
多处软组织挫伤；,男性:1 触痛:1 外伤:1 疼痛:1 肿胀:1 
原发性高血压 很高危组,血压高:8 糖尿病:6 男性:6 女性:5 双下肢轻度水肿:4 高血压:4 心脏扩大:3 加重:3 痛风:3 胸闷:3 心功能III-IV级:3 头晕:3 高血压性心脏病:3 肾功能不全:3 动脉粥样硬化:3 血压升高:3 浮肿:3 心脏病:3 气促:3 精神软:2 胃炎:2 肺呼吸音粗:2 胸闷气促:2 老年:2 病理性杂音:2 不适:2 左侧肢体:1 糖耐量异常:1 听力下降:1 两肺呼吸音低:1 晕厥:1 高血压心脏病:1 心浊音界左大:1 房颤:1 阑尾切除术:1 胆囊切除术:1 颈静脉充盈:1 起搏器植入术后:1 轻度ST段改变:1 血糖偏高:1 视物模糊:1 心功能III级:1 视物旋转:1 心慌:1 口干:1 心律绝对不齐:1 全腹及反跳痛:1 心音强弱不等:1 麻木:1 甲状腺结节:1 头晕乏力:1 手术史:1 律欠齐:1 早搏:1 房室传导阻滞:1 
正常分娩,孕妇:38 停经:38 胎盘:35 胎儿:33 腹痛:22 不规则宫缩:14 阴道流液:11 面色红:8 脉弦滑:8 未及宫缩:7 脐带绕颈:5 脉滑:4 羊水偏少:4 阴道流血:3 阴道流血流液:3 腹胀:3 脐带绕颈一圈:3 剖宫产:2 剖宫产术后:2 小三阳:1 恶心:1 甲状腺功能减退:1 呕吐:1 胆囊息肉:1 胆囊炎:1 乙肝:1 引产:1 宫颈管消退:1 
胆囊结石伴慢性胆囊炎,胆囊结石:37 胆囊炎:32 女性:23 肾区叩痛:23 浮肿:15 脉滑数:13 苔薄黄:13 腹部包块:13 腹痛:10 上腹压痛:8 男性:8 脂肪肝:8 多发结石:8 病理性杂音:7 腹胀:7 疼痛:7 肝区叩击痛:6 囊肿:5 胃炎:5 肿块:5 轻压痛:5 高血压病:5 肝内脂肪增多:4 糖尿病:4 加重:3 肝囊肿:3 压痛明显:3 黄疸:3 甲状腺肿大:2 肝右叶钙化灶:2 手术史:2 疼痛不适:2 淋巴结肿大:2 皮疹:2 胆结石:2 高血压:2 不适:2 肾囊肿:2 颈动脉粥样硬化:1 左乳切除术:1 陈旧性手术疤痕:1 恶心:1 恶寒:1 纳差:1 脂肪肝倾向:1 骨折:1 前列腺钙化灶:1 慢性阻塞性肺病:1 肝右叶小囊肿:1 糖尿病周围神经病变:1 肾结石:1 呕吐:1 老年:1 胆囊息肉:1 萎缩性胆囊炎:1 胃炎病史:1 骨质疏松:1 活动障碍:1 外伤:1 肝右叶囊肿:1 青霉素过敏史:1 上腹部压痛:1 嗳气:1 酸胀不适:1 小三阳:1 心功能II级:1 隐痛不适:1 强回声:1 乳腺癌:1 阑尾炎:1 视网膜病变:1 慢性支气管炎:1 食道下段炎:1 乙肝:1 肺源性心脏病:1 腺肌症:1 血糖偏高:1 胰头旁囊性灶:1 脑梗塞:1 血糖控制欠佳:1 早搏:1 阑尾增粗:1 肝内脂质沉积:1 背部疼痛:1 胀痛:1 中上腹压痛:1 胆道轻度扩张:1 副脾:1 精神软:1 车祸:1 先天性右下肢畸形:1 发热:1 完全性右束支传导阻滞:1 轻度压痛:1 
右跟骨骨折术后骨性愈合,骨折:1 陈旧性手术疤痕:1 舌质淡:1 脉弦:1 
双眼年龄相关性白内障,晶体混浊:2 加重:2 视力下降:2 晶体轻度混浊:1 糖尿病:1 高血压病:1 
骨质疏松症，肾功能不全，高尿酸血症,腰背部疼痛:1 舌质淡:1 骨质疏松:1 活动轻度受限:1 疼痛:1 麻木:1 腰椎:1 脉弦:1 
腰3椎体左侧横突骨折,活动受限:1 骨擦感:1 车祸:1 疼痛:1 双侧腰部压痛:1 肿胀:1 
包茎,包茎:32 浮肿:32 男性:31 能上翻:30 包皮长:27 包皮过长:25 流脓:13 包皮口呈狭小:6 不可显露龟头:6 包皮无法上翻:5 尿线细长:4 包皮不易上翻:4 红肿:3 包皮外翻困难:2 增生:1 尿痛:1 阴茎新生物:1 病理性杂音:1 手术病史:1 血尿:1 
急性会厌炎,疼痛:12 咽部:8 女性:8 胸闷:6 发热:6 咳嗽:5 咳痰:5 畏寒:5 气急:4 吞咽困难:4 呼吸困难:3 烧灼样痛伴吞咽:3 肿胀:3 咽痛:2 不适:2 精神软:1 鼻咽癌:1 感冒:1 受凉:1 淋巴结肿大:1 脓性分泌物:1 心悸:1 乏力:1 男性:1 呼吸急促:1 声音嘶哑:1 化脓:1 手术治疗:1 寒战:1 加重:1 
痛风,肿胀:43 男性:43 痛风:36 红肿热痛:24 病理性杂音:23 高血压:20 湿罗音:18 红肿:16 加重:15 关节肿痛:15 关节畸形:14 浮肿:14 疼痛:11 膝关节:10 破溃:10 关节痛:9 痛风性关节炎:9 高血压病:9 皮肤呈红紫色:8 压痛明显:8 活动受限:8 老年:7 糖尿病:6 肾功能不全:6 皮温高:4 肺呼吸音粗:4 肿块:4 活动障碍:4 心律不齐:3 肾结石:3 女性:3 肝囊肿:3 脂肪肝:3 肌酐升高:3 精神软:3 麻木:2 膝活动受限:2 睡眠障碍:2 咳嗽:2 咳痰:2 腹膨隆:2 局部压痛:2 骨折:2 流脓:2 发热:2 肾囊肿:2 轻压痛:2 鳞状细胞癌:1 息肉:1 桶状胸:1 体重下降:1 前列腺钙化灶:1 肝炎:1 颈动脉斑块:1 破裂:1 烟酒嗜好:1 高尿酸血症:1 苔薄黄:1 双肘关节压痛:1 满月脸:1 胃溃疡:1 肾功能正常:1 双肺呼吸音低:1 高脂血症:1 肿瘤:1 消瘦:1 右足肿痛:1 左室高电压:1 颈椎病:1 血压偏高:1 肝内脂肪增多:1 慢阻肺:1 心音强弱不等:1 脉沉细:1 头晕:1 右踝关节痛:1 摔伤:1 腹痛:1 心肌梗死:1 激素面容:1 脉弦:1 青年:1 胃炎:1 右踝肿痛:1 双下肢轻度水肿:1 心脏扩大:1 多发结石:1 出血:1 胸闷胸痛:1 无力:1 血糖偏高:1 乙肝:1 关节明显畸形:1 房颤:1 双下肢水肿:1 动脉粥样硬化:1 痛风性肾病:1 脑梗塞:1 ST段抬高:1 低钾血症:1 淋巴结清扫术:1 左足足背动脉搏动较弱:1 累:1 酸痛:1 胆结石:1 骨擦感:1 心脏病:1 胃纳减:1 骨关节炎:1 不适:1 触痛:1 轻度压痛:1 刺痛:1 
心功能不全,肺呼吸音粗:8 浮肿:8 加重:4 女性:4 高血压:4 胸闷气促:3 咳嗽:3 男性:3 湿罗音:3 房颤:3 肺动脉高压:3 两肺散在纤维灶:2 双下肢水肿:2 肺气肿:2 胸闷:2 口唇紫绀:2 咳痰:2 糖尿病:2 老年:2 心律不齐:2 感染:2 腹胀:2 病理性杂音:2 胸腔积液:2 心包少量积液:2 右房增大:2 胸闷气急:2 精神软:1 贫血:1 室早:1 咯血:1 肥大:1 副脾:1 升主动脉瘤样扩张:1 气促:1 左室舒张功能减退:1 冠心病:1 动脉粥样硬化:1 阵发性房颤:1 主动脉瓣钙化:1 乏力:1 左室增大:1 出汗:1 心功能Ⅲ级:1 心影增大:1 不适:1 心脏病:1 下肢水肿:1 脑梗塞后遗症:1 头晕:1 心律失常:1 口唇轻度紫绀:1 ST段压低:1 尿量减少:1 纳差:1 骨折:1 胸闷心悸:1 桶状胸:1 慢性支气管炎病史:1 心脏扩大:1 急性心肌梗死:1 两侧胸腔少量积液:1 室速:1 左下胸膜钙化:1 两肺纹理增多:1 吸烟:1 高血压病:1 T波改变:1 两下肺呼吸音低:1 腹腔少量积液:1 畏寒:1 
子宫恶性肿瘤,淋巴结肿大:9 出血:9 浮肿:9 鳞状细胞癌:7 累:7 绝经:6 肿块:6 囊肿:6 女性:4 子宫肌瘤:4 高血压:4 阴道流血:3 子宫前位:3 肿瘤:3 脉管内见癌栓:3 阴道不规则流血:3 糖尿病:3 肥大:3 增生:3 手术瘢痕:3 放疗后:3 输卵管结扎术:3 子宫内膜癌:3 盆腔少量积液:2 回声结节:2 剖宫产:2 淋巴囊肿:2 宫颈癌术后:2 血迹:2 淋巴结清扫术:2 左肺上叶:2 胆囊炎:2 全腹及反跳痛:2 下舌段纤维灶:2 手术史:2 宫颈锥切术:2 癌转移:2 右下肺钙化灶:2 高血压病:2 加重:2 胃炎:1 息肉:1 经期延长:1 宫腔异常:1 增大如孕:1 破碎:1 子宫内膜偏厚:1 脂肪肝:1 紧张:1 自然绝经:1 慢性宫颈炎:1 月经失调:1 阑尾切除术:1 异型增生:1 胆囊息肉:1 腹部包块:1 子宫小肌瘤:1 月经不规则:1 感染:1 子宫切除:1 腹胀:1 无瘀点:1 子宫内膜不规则增生:1 腺肌症:1 胆囊结石:1 贫血:1 质地偏硬:1 左侧腹股沟区:1 子宫占位性病变切除术后:1 自行停药:1 瘀斑:1 皮疹:1 血小板减少:1 
肝炎,男性:2 恶心:1 胆囊炎:1 肝炎:1 蜘蛛痣:1 女性:1 呕吐:1 疼痛:1 尿黄:1 黄疸:1 腹胀:1 病理性杂音:1 老年:1 轻压痛:1 浮肿:1 肝区叩击痛:1 肺呼吸音粗:1 肿瘤:1 痛经:1 乏力:1 胃炎:1 
隐匿性阴茎,阴茎体隐匿于阴阜皮下:52 阴茎偏小:49 浮肿:45 包皮长:35 男性:31 包皮过长:19 隐匿型阴茎:4 阴茎短小:2 流脓:1 
双侧膝关节开放性骨折,活动受限:1 刀砍伤:1 骨折:1 舌质淡:1 渗血:1 出血:1 膝关节:1 破裂:1 脉弦:1 
心脏瓣膜病,加重:4 高血压:4 浮肿:4 肺呼吸音粗:3 胸闷:3 男性:3 湿罗音:3 房颤:3 咯血:2 咳嗽:2 咳痰:2 糖尿病:2 主动脉瓣钙化:2 左室增大:2 冠心病:2 畏寒:2 肝右叶钙化灶:1 肥大:1 慢支:1 心脏扩大:1 三尖瓣中度返流:1 颈静脉充盈:1 胸闷气促:1 乏力:1 女性:1 心影增大:1 ST-T改变:1 右冠轻度狭窄:1 心包腔少量积液:1 左室壁增厚:1 胸水:1 右房增大:1 腹胀:1 胸腔积液:1 主动脉硬化:1 肝右叶囊肿:1 
干燥综合征,女性:11 口干:9 干燥综合征:6 老年:6 浮肿:6 眼干:4 高血压:4 肺呼吸音粗:3 糖尿病:3 加重:3 皮疹:3 消瘦:3 肿胀:3 高血压病:3 瘀斑:2 肺动脉高压:2 膝关节:2 肺弥散功能中度降低:2 湿罗音:2 病理性杂音:2 干咳:2 肾囊肿:2 血小板减少:2 青年:1 脱屑:1 触痛:1 胃炎:1 息肉:1 胃下垂:1 腰痛:1 肺弥散功能轻度降低:1 慢支:1 体重下降:1 胸痛:1 呕吐:1 甲状腺结节:1 肺气肿:1 精神软:1 舌面欠湿润:1 龋齿:1 焦虑:1 房颤:1 肝硬化:1 咳嗽:1 中重度缓和性肺通气功能障碍:1 白细胞减少:1 粥样斑块形成:1 心律失常:1 乏力:1 心动过缓:1 多发钙化灶:1 男性:1 心影增大:1 肝囊肿:1 增生:1 感染:1 肌酐升高:1 风湿性关节炎:1 腹胀:1 胸膜增厚:1 肾区叩痛:1 肿瘤:1 腰椎:1 恶心:1 心衰:1 中毒:1 颈动脉硬化:1 胸腔积液:1 全心增大:1 血吸虫肝病:1 发热:1 腰椎退行性变:1 左室舒张功能减退:1 
右精索交通性鞘膜积液,囊性暗区:1 肿物:1 
脑疝,硬膜下血肿:2 骨折:2 车祸:2 脑挫伤:2 蛛血:2 右侧颞部:1 神志昏迷:1 外伤:1 意识不清:1 肝囊肿:1 昏迷:1 肺大泡:1 神志模糊:1 头部外伤:1 肿胀:1 
急性化脓性阑尾炎,阑尾炎:13 腹痛:13 紧张:10 化脓:10 男性:6 精神软:4 肾区叩痛:4 痛苦:4 淋巴结肿大:3 浮肿:3 呕吐:1 脂肪肝:1 伴反跳痛:1 恶心:1 畏寒发热:1 老年:1 肌稍紧:1 女性:1 脉滑数:1 双肾小结石:1 强迫:1 右下腹麦氏点压痛:1 阑尾回声改变:1 疼痛:1 高血压病:1 
眩晕,头晕:5 加重:3 听力下降:2 肺呼吸音粗:2 肾区叩痛:2 呕吐:2 病理性杂音:2 头晕乏力:2 耳鸣:2 胃炎:1 息肉:1 脉滑:1 耳聋:1 肿瘤:1 恶心:1 苔白腻:1 消瘦:1 男性:1 视物旋转:1 活动障碍:1 面色少华:1 全腹及反跳痛:1 高血压:1 囊肿:1 麻木:1 发热:1 脉细数:1 听力减退:1 早搏:1 浮肿:1 畏寒:1 脉弦:1 
急性阑尾炎,腹痛:99 阑尾炎:98 紧张:69 右下腹麦氏点压痛:50 男性:49 精神软:38 女性:36 心肺听诊异常:30 伴反跳痛:21 肾区叩痛:17 疼痛:16 脉滑数:15 压痛明显:14 化脓:10 轻压痛:7 加重:6 痛苦:6 老年:6 脂肪肝:6 阑尾增粗:6 淋巴结肿大:5 肾囊肿:5 高血压病:5 病理性杂音:4 恶心:4 阑尾回声改变:4 手术史:3 浮肿:3 呕吐:3 青年:3 肿块:3 阑尾稍增粗:3 盆腔少量积液:2 慢性肾炎:2 肾结石:2 肝左叶囊肿:2 胆囊炎:2 麦氏点压痛、反跳痛:2 肝囊肿:2 糖尿病:2 右侧腹股沟疝:2 腔内粪石:2 脓肿:2 高血压:2 轻度压痛:2 鳞状细胞癌:1 陈旧性手术疤痕:1 胆囊切除术:1 中风病史:1 回声改变:1 剖宫产术后:1 胆囊小:1 子宫切除:1 前列腺钙化灶:1 肿瘤:1 右下腹略压痛:1 胆囊结石:1 纤维瘤:1 吸烟:1 甲状腺结节:1 急性貌:1 保守治疗:1 肝内脂肪增多:1 主动脉瓣钙化:1 胆囊息肉:1 肿胀:1 左肺上叶:1 胃炎病史:1 肺弥散功能轻度降低:1 外伤:1 腹略隆:1 胃炎:1 肝右叶钙化灶:1 苔薄黄:1 强回声:1 左室舒张功能欠佳:1 手术瘢痕:1 少量渗出:1 骨折:1 不适:1 血糖控制欠佳:1 组织坏死:1 淋巴结清扫术:1 畏寒发热:1 副脾:1 气胸:1 腹泻:1 胸腔积液:1 隐血:1 
右手示指切割伤伴伸肌腱损伤,割伤:1 出血:1 疼痛:1 舌质淡:1 脉弦:1 
